,날짜,종가,전일비,상승/하락,시가,고가,저가,거래량,변동폭
1,20190429,46150.0,1300.0,상승,45150.0,46150.0,45100.0,8777517.0,1050.0
2,20190426,44850.0,200.0,상승,44200.0,45000.0,43800.0,9739982.0,1200.0
3,20190425,44650.0,100.0,하락,44250.0,45000.0,44100.0,10868965.0,900.0
4,20190424,44750.0,450.0,하락,45400.0,45650.0,44150.0,13299267.0,1500.0
5,20190423,45200.0,150.0,하락,45050.0,45500.0,45000.0,6920566.0,500.0
6,20190422,45350.0,50.0,상승,45400.0,45900.0,45100.0,6006957.0,800.0
7,20190419,45300.0,300.0,하락,45750.0,46000.0,45250.0,8479710.0,750.0
8,20190418,45600.0,1450.0,하락,47200.0,47250.0,45500.0,12808747.0,1750.0
9,20190417,47050.0,200.0,하락,47300.0,47600.0,47000.0,5513658.0,600.0
10,20190416,47250.0,200.0,상승,47400.0,47400.0,46800.0,7730881.0,600.0
11,20190415,47050.0,200.0,상승,47150.0,47500.0,47000.0,8733019.0,500.0
12,20190412,46850.0,600.0,상승,46050.0,46900.0,46000.0,7668936.0,900.0
13,20190411,46250.0,450.0,하락,46700.0,46800.0,46150.0,13697399.0,650.0
14,20190410,46700.0,50.0,상승,46400.0,46700.0,46050.0,11883995.0,650.0
15,20190409,46650.0,0.0,변동x,46700.0,46950.0,46200.0,6878761.0,750.0
16,20190408,46650.0,200.0,하락,47250.0,47250.0,46150.0,8507909.0,1100.0
17,20190405,46850.0,100.0,하락,46950.0,47550.0,46600.0,8546339.0,950.0
18,20190404,46950.0,350.0,상승,46150.0,47100.0,46150.0,12650168.0,950.0
19,20190403,46600.0,850.0,상승,46750.0,46750.0,45800.0,12436570.0,950.0
20,20190402,45750.0,700.0,상승,45550.0,46100.0,45350.0,9480688.0,750.0
21,20190401,45050.0,400.0,상승,45200.0,45450.0,44850.0,7362129.0,600.0
22,20190329,44650.0,200.0,하락,44500.0,44900.0,44200.0,11491713.0,700.0
23,20190328,44850.0,500.0,하락,44950.0,45200.0,44300.0,6821306.0,900.0
24,20190327,45350.0,100.0,상승,44750.0,45600.0,44250.0,9568081.0,1350.0
25,20190326,45250.0,250.0,하락,45500.0,45700.0,44900.0,9729811.0,800.0
26,20190325,45500.0,1050.0,하락,45300.0,45650.0,44800.0,8699728.0,850.0
