ID,성별,나이,머리둘레,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,귀바퀴뿌리-귀바퀴뿌리뒤직선길이,발직선길이,몸무게
5_0001,남,19,570,1679,1422,743,330,898,832,890,718,755,796,381,452,562,436,373,155,20,237,58
5_0002,남,19,570,1743,1479,780,423,950,898,865,775,780,930,397,461,575,422,400,147,19,255,65
5_0003,남,23,580,1741,1468,778,472,995,772,910,844,850,984,425,467,561,416,415,150,20,262,75
5_0004,남,23,540,1649,1398,733,387,852,790,731,630,700,827,380,422,523,420,372,140,20,238,49
5_0005,남,22,560,1739,1482,809,419,926,866,803,723,783,909,401,463,570,431,391,145,20,265,60
5_0006,남,21,590,1737,1469,784,414,932,873,832,735,756,875,378,439,563,422,415,156,21,265,58
5_0007,남,19,560,1724,1458,776,409,906,834,779,719,780,886,392,457,554,443,397,147,18,257,59
5_0008,남,19,570,1811,1545,815,430,893,845,792,702,842,924,371,501,598,463,399,157,18,281,61
5_0009,남,19,560,1753,1500,799,420,1015,948,878,798,870,980,428,463,602,405,402,144,21,235,73.5
5_0010,남,26,550,1794,1538,792,433,984,887,824,780,847,979,425,476,579,481,383,150,20,263,73
5_0011,남,28,600,1778,1514,764,454,1064,988,923,822,842,1020,465,467,586,471,409,151,20,273,84
5_0012,남,26,590,1786,1520,785,484,1150,1072,984,873,923,1043,499,504,606,477,407,151,20,269,92.6
5_0013,남,19,550,1684,1430,749,420,990,893,843,793,841,968,432,426,569,404,371,144,19,259,67.9
5_0014,남,20,570,1798,1559,839,440,1030,990,934,865,929,1080,436,516,605,448,404,154,20,271,84.6
5_0015,남,22,570,1769,1509,784,450,1066,962,920,824,851,978,472,485,591,444,414,153,20,263,79.6
5_0016,남,27,580,1682,1425,768,424,899,845,788,715,784,871,392,438,565,407,404,148,20,250,56
5_0017,남,22,600,1746,1473,754,428,967,915,875,775,828,968,414,419,589,432,416,151,19,257,71
5_0018,남,19,560,1796,1536,828,418,877,819,770,687,770,881,391,452,604,422,393,156,20,272,57
5_0019,남,23,560,1628,1367,667,414,900,831,772,734,749,893,398,411,506,420,393,142,20,231,56
5_0020,남,20,600,1760,1493,804,431,1059,991,901,799,801,972,418,436,593,451,433,154,21,260,76
5_0021,남,18,600,1793,1538,834,438,945,874,823,735,815,945,413,486,602,444,418,155,19,277,69
5_0022,남,28,560,1623,1367,692,407,976,926,875,881,898,970,425,431,525,421,422,154,20,240,67.8
5_0023,남,16,560,1700,1468,764,459,1077,1020,958,907,955,1077,448,484,562,432,406,156,20,253,89.2
5_0024,남,17,550,1720,1463,785,413,902,840,801,734,757,899,386,451,564,435,376,144,20,248,59.6
5_0025,남,18,600,1743,1481,773,448,957,922,880,830,866,945,405,462,574,436,425,151,20,259,70
5_0026,남,19,560,1763,1490,799,432,911,850,803,720,802,945,419,451,565,415,412,150,19,242,63
5_0027,남,19,610,1731,1483,800,420,977,915,885,818,897,991,436,431,588,425,402,154,22,257,73
5_0028,남,19,590,1726,1475,796,430,959,890,844,725,742,936,414,453,579,442,427,158,19,242,66
5_0029,남,23,600,1837,1554,856,440,1008,946,895,816,829,981,440,475,616,444,396,150,20,278,75
5_0030,남,46,650,1695,1446,775,424,1008,938,902,820,835,954,421,451,556,446,472,152,20,239,65
5_0031,남,21,580,1661,1396,768,404,932,855,823,737,749,890,406,424,570,423,405,153,22,241,58
5_0032,남,21,600,1700,1455,822,386,890,836,801,656,726,868,382,422,572,408,401,140,19,253,56
5_0033,남,59,570,1662,1428,733,430,1008,1005,954,893,892,961,424,432,547,464,408,156,22,262,73.9
5_0034,남,20,550,1730,1477,797,410,908,847,803,732,780,934,391,428,571,447,413,146,20,250,60
5_0035,남,25,580,1788,1526,800,409,960,891,847,758,864,970,425,433,611,443,423,150,19,258,71.6
5_0036,남,20,560,1713,1448,763,408,918,879,826,700,752,889,386,445,553,451,408,155,21,261,60.7
5_0037,남,22,550,1792,1515,830,406,894,840,804,707,734,928,427,454,591,461,399,151,19,270,63.6
5_0038,남,22,560,1803,1523,845,422,908,844,783,741,807,935,411,444,601,441,425,144,18,262,64.4
5_0039,남,23,580,1778,1528,858,404,970,891,842,762,819,914,415,445,596,441,406,147,19,260,65
5_0040,남,27,590,1766,1503,803,457,1065,1040,964,930,943,1076,477,464,583,473,411,156,20,273,90
5_0041,남,27,580,1557,1321,687,394,988,952,898,830,861,941,431,402,539,389,381,146,20,232,65
5_0042,남,19,570,1704,1434,763,413,964,922,879,818,842,940,417,435,550,429,373,139,21,250,69
5_0043,남,19,550,1708,1445,799,415,880,832,783,655,717,871,391,418,555,424,400,143,19,263,56
5_0044,남,19,580,1733,1478,821,442,928,888,845,794,852,944,407,451,595,421,416,155,21,270,69
5_0045,남,22,570,1747,1499,829,417,1006,950,894,787,823,950,426,451,588,420,395,153,20,255,71.3
5_0046,남,26,580,1741,1485,831,433,956,875,834,747,785,921,422,474,596,425,415,145,19,252,63
5_0047,남,24,570,1800,1558,875,431,987,900,846,802,816,942,414,473,598,435,389,153,20,268,71
5_0048,남,21,590,1738,1500,819,389,900,853,813,693,749,929,382,455,574,446,401,140,19,259,63
5_0049,남,27,570,1655,1420,797,401,910,858,819,715,755,896,367,425,555,423,385,140,20,220,56
5_0050,남,26,600,1800,1536,841,439,978,914,869,836,870,1007,420,449,504,467,392,156,22,269,77
5_0051,남,27,580,1677,1426,732,413,1053,1012,943,927,941,1031,418,434,537,425,413,154,20,246,80.1
5_0052,남,29,600,1702,1469,773,500,1181,1250,1206,1227,1220,1230,500,472,580,493,412,163,21,258,113
5_0053,남,23,600,1768,1510,825,408,990,927,891,810,842,992,431,464,609,439,433,162,21,254,73.8
5_0054,남,42,560,1718,1453,809,436,929,896,831,855,864,922,430,447,571,439,390,155,20,245,64
5_0055,남,56,560,1543,1308,707,399,899,850,812,746,829,875,383,371,512,393,387,150,21,239,52
5_0056,남,52,590,1659,1419,756,443,991,957,884,882,912,968,423,443,542,441,417,152,20,241,70
5_0057,남,42,560,1695,1449,793,423,945,888,819,807,814,912,395,471,559,458,391,143,17,234,60
5_0058,남,36,590,1709,1450,764,418,995,928,864,828,911,953,426,451,578,439,413,155,22,256,67
5_0059,남,28,580,1735,1491,815,465,1025,977,907,892,936,981,460,442,589,437,403,155,20,263,78
5_0060,남,54,580,1645,1399,741,414,982,915,873,893,854,907,415,416,533,426,400,156,20,240,64
5_0061,남,44,570,1711,1459,770,426,1000,959,903,892,885,971,439,411,581,440,390,150,19,247,74
5_0062,남,48,600,1818,1574,856,447,1059,941,991,920,920,973,445,447,605,498,405,158,21,274,81
5_0063,남,58,570,1625,1397,732,420,1034,1004,946,956,939,988,435,436,543,446,394,157,22,258,75
5_0064,남,54,580,1693,1452,788,401,1005,953,919,954,941,975,418,442,580,421,402,153,20,265,75
5_0065,남,54,580,1639,1419,778,427,966,934,889,943,956,926,415,408,561,413,402,150,20,250,71
5_0066,남,26,560,1602,1359,749,393,891,834,777,709,740,864,384,420,542,395,383,149,21,236,53
5_0067,남,30,580,1754,1500,801,425,1025,988,934,861,870,1024,440,449,578,459,407,154,21,248,80
5_0068,남,40,570,1733,1462,789,403,920,860,819,785,801,934,393,463,557,433,399,158,21,256,64
5_0069,남,49,590,1672,1439,788,438,1001,953,883,840,867,942,435,478,556,441,403,166,22,249,71.9
5_0070,남,40,560,1711,1447,771,389,926,879,848,801,835,910,387,426,547,433,410,151,20,248,63.2
5_0071,남,39,550,1656,1418,741,416,985,920,868,860,857,922,420,445,538,448,398,155,21,240,66.3
5_0072,여,24,550,1724,1468,789,390,902,912,792,743,965,986,395,444,561,407,398,147,20,240,65
5_0073,여,25,540,1714,1478,810,372,813,771,680,663,798,911,341,439,557,401,392,138,21,250,52.6
5_0074,여,23,540,1715,1467,790,347,813,794,670,618,717,890,342,407,558,429,374,138,20,249,48.2
5_0075,여,24,550,1707,1485,788,384,855,813,741,673,890,925,372,440,565,408,396,150,21,254,58.7
5_0076,여,32,550,1656,1450,780,352,805,787,671,607,794,864,339,375,552,359,377,146,23,239,46.8
5_0077,여,25,580,1591,1355,691,427,1060,1088,924,932,1100,1095,425,423,522,372,416,148,20,239,83.4
5_0078,여,25,550,1545,1300,676,363,893,870,764,711,832,949,365,373,513,343,376,145,18,213,54.2
5_0079,여,26,560,1629,1378,742,358,877,867,726,673,825,918,356,403,529,389,404,148,20,239,54.8
5_0080,여,22,550,1627,1381,723,405,928,957,804,815,897,1031,400,428,514,396,408,153,18,239,69.6
5_0081,여,25,540,1628,1370,738,384,834,813,702,694,786,951,354,409,529,365,401,145,20,250,54
5_0082,여,26,530,1538,1307,713,366,800,824,695,662,737,865,337,356,502,360,384,138,18,220,43.7
5_0083,남,54,550,1650,1409,749,433,1024,999,904,968,959,998,429,424,564,437,400,150,18,242,74.2
5_0084,남,35,550,1669,1418,745,424,1006,955,890,844,879,1000,419,425,531,430,410,148,19,241,71.8
5_0085,남,37,560,1696,1452,760,426,1006,982,924,847,884,955,445,445,569,454,405,156,21,249,71.7
5_0086,남,49,560,1693,1460,763,476,957,906,866,882,910,931,436,463,524,492,407,153,21,245,72.2
5_0087,남,51,570,1712,1457,775,418,925,873,820,723,806,941,406,432,556,424,391,158,20,249,63.2
5_0088,남,27,550,1714,1463,783,417,880,832,783,725,785,930,403,431,570,429,382,159,19,260,64
5_0089,남,27,550,1605,1360,759,388,876,825,808,731,761,856,398,412,551,403,384,144,17,245,53.6
5_0090,남,39,570,1730,1487,816,401,901,863,825,762,798,903,396,425,591,459,405,159,18,260,61.4
5_0091,남,41,540,1550,1335,703,396,946,,803,811,826,897,394,406,515,404,383,144,21,236,56.2
5_0092,남,38,560,1729,1492,811,432,1012,969,927,850,908,980,420,443,562,457,404,162,18,258,76.3
5_0093,남,50,540,1665,1431,760,423,980,940,894,857,915,928,426,455,552,423,384,155,20,245,66.9
5_0094,남,48,540,1678,1438,781,422,923,890,843,809,844,919,412,406,570,429,405,156,20,251,64.1
5_0095,남,46,570,1663,1418,756,412,955,908,862,823,905,949,408,423,548,434,403,153,20,250,65.8
5_0096,남,54,560,1560,1346,717,393,906,882,826,830,865,880,369,423,516,420,405,152,20,238,55
5_0097,남,22,530,1734,1486,834,412,997,917,861,788,820,962,434,470,595,429,398,157,19,260,69.1
5_0098,남,47,560,1668,1425,741,441,1032,997,974,967,951,990,426,460,566,437,413,155,20,251,77.5
5_0099,남,38,570,1662,1425,728,452,1092,1025,965,988,955,992,441,464,532,443,408,158,22,242,82.2
5_0100,남,31,550,1684,1438,750,425,1007,1002,930,944,932,1002,428,439,553,445,387,156,19,259,76.6
5_0101,남,48,570,1766,1522,800,435,982,948,888,880,922,995,436,473,580,475,407,163,20,251,76.5
5_0102,남,25,560,1600,1353,735,378,1010,915,858,726,762,923,441,424,543,397,395,154,20,231,61.2
5_0103,남,47,570,1667,1427,749,440,1008,952,899,901,937,970,441,456,531,432,382,148,21,254,71.5
5_0104,남,33,570,1718,1456,767,407,969,913,855,762,861,1035,412,446,557,454,424,162,19,255,64.6
5_0105,남,47,570,1743,1496,797,448,1055,1035,990,965,980,993,449,471,594,453,402,162,21,265,85.8
5_0106,남,43,560,1671,1404,762,405,902,924,780,745,792,887,392,410,558,409,422,155,21,249,57
5_0107,남,48,560,1678,1438,754,418,1000,976,940,836,903,972,426,434,542,437,378,160,22,247,75.8
5_0108,여,25,550,1715,1455,801,383,854,830,729,686,794,923,366,415,578,399,394,155,20,254,57.2
5_0109,여,27,560,1639,1399,760,394,914,887,746,695,845,954,383,406,550,386,412,148,20,240,58.8
5_0110,여,26,550,1689,1444,784,378,806,804,697,644,836,927,364,411,552,395,409,139,18,255,53
5_0111,여,23,550,1649,1403,784,373,819,798,684,664,779,877,346,396,551,351,393,153,18,237,49.8
5_0112,여,25,530,1585,1330,697,346,778,794,686,625,749,891,347,377,512,367,380,138,19,224,46.5
5_0113,남,31,580,1689,1414,758,422,990,939,896,857,906,957,423,452,562,441,418,155,24,257,71
5_0114,남,27,570,1700,1461,761,431,1013,960,886,853,890,968,443,462,573,440,413,151,20,247,72.9
5_0115,남,47,560,1681,1449,784,434,995,944,894,869,908,955,418,424,568,434,392,158,20,245,68.6
5_0116,남,29,580,1699,1466,795,445,987,914,862,814,905,997,429,461,572,449,385,159,21,253,73.2
5_0117,남,27,530,1685,1437,783,394,858,800,741,628,702,955,364,434,546,449,386,150,20,245,48.8
5_0118,여,27,550,1623,1394,758,384,884,883,765,775,875,974,391,395,554,392,383,151,19,242,63
5_0119,여,33,530,1548,1310,684,398,950,965,837,891,955,963,394,399,529,393,403,156,20,225,64.5
5_0120,여,30,560,1604,1381,731,380,1009,1015,854,843,976,1037,426,428,534,390,387,146,21,238,74.1
5_0121,남,26,570,1778,1535,833,450,1156,1128,1041,1046,1073,1105,476,486,609,462,385,160,19,274,101.4
5_0122,남,39,570,1757,1503,785,430,1002,963,912,861,897,1015,448,430,581,437,420,156,20,248,78.6
5_0123,남,46,570,1585,1341,669,453,1060,1009,929,964,946,984,437,452,510,428,397,169,22,238,75.5
5_0124,남,23,570,1756,1503,800,427,1010,953,910,853,839,1001,428,470,579,458,419,152,20,254,79.7
5_0125,남,41,560,1730,1491,810,408,982,947,879,846,880,951,398,446,568,447,395,155,21,250,71
5_0126,남,48,570,1707,1460,780,439,1011,977,922,889,780,973,418,456,550,451,399,165,22,258,73.2
5_0127,남,50,580,1749,1493,794,448,1027,982,937,922,929,946,447,447,574,468,396,161,22,259,83
5_0128,남,44,580,1704,1447,745,450,1087,1070,1004,1002,1084,1060,457,432,560,441,420,162,20,251,90.7
5_0129,남,23,540,1691,1435,793,426,930,883,820,769,805,914,418,471,558,418,374,145,20,256,62.8
5_0130,남,21,560,1690,1438,779,402,942,880,829,729,765,902,385,416,576,442,392,146,21,247,57.7
5_0131,남,31,540,1636,1379,722,415,994,923,875,765,838,925,453,470,531,415,379,154,22,244,66.6
5_0132,남,43,580,1725,1466,762,441,1071,1007,947,851,880,983,423,439,558,449,403,155,21,273,78.3
5_0133,남,27,530,1686,1440,779,412,920,861,812,713,733,899,402,446,555,435,379,149,20,250,59.9
5_0134,남,22,560,1659,1390,745,393,921,860,812,705,717,858,401,434,567,425,402,153,20,248,54.9
5_0135,남,22,590,1791,1550,852,430,1030,985,905,843,867,993,439,461,620,449,395,161,21,272,79.1
5_0136,남,41,530,1767,1530,789,431,987,933,899,840,873,981,420,456,573,486,371,160,23,257,72.5
5_0137,남,39,570,1720,1481,788,435,1044,1025,957,961,962,1019,456,445,587,453,389,163,21,249,83.2
5_0138,남,29,560,1705,1434,763,397,881,807,771,744,770,910,384,387,574,427,411,155,19,250,58
5_0139,여,27,540,1641,1404,765,347,806,769,679,645,762,877,374,355,546,399,373,139,21,235,50.4
5_0140,여,26,540,1558,1324,721,346,808,778,660,615,725,865,347,379,517,354,402,143,19,220,47.6
5_0141,여,25,540,1593,1355,728,357,803,785,699,635,735,887,329,409,511,372,389,136,20,235,50.2
5_0142,여,20,550,1577,1347,736,359,899,870,762,736,831,933,371,397,525,357,383,142,21,229,58.5
5_0143,여,33,520,1485,1250,680,352,772,748,678,585,691,841,310,367,480,360,370,133,17,217,40.4
5_0144,여,36,540,1569,1349,723,364,839,840,712,696,822,890,367,391,524,405,371,137,21,241,51.8
5_0145,여,25,530,1514,1289,687,348,790,781,672,633,740,901,349,355,384,353,382,144,21,214,45.5
5_0146,여,27,550,1675,1432,774,396,876,889,730,716,936,983,366,410,551,402,381,148,20,240,61.8
5_0147,여,29,550,1655,1424,796,360,895,870,780,733,930,1000,368,391,535,385,399,142,20,229,65.3
5_0148,여,28,550,1676,1425,777,345,837,827,744,667,806,878,348,377,543,381,400,143,19,238,51.9
5_0149,여,24,550,1565,1343,694,395,950,978,858,843,979,1028,397,430,505,383,385,147,21,236,74.3
5_0150,여,20,520,1588,1351,746,351,803,783,694,651,729,860,329,396,524,375,379,141,20,229,48
5_0151,여,21,520,1520,1298,685,351,789,779,703,639,688,889,352,351,513,356,357,135,21,229,48.2
5_0152,여,25,540,1630,1384,763,359,839,827,733,713,846,928,376,379,542,384,389,150,19,240,54.7
5_0153,여,39,530,1541,1305,698,378,912,875,762,780,930,925,379,403,496,370,370,148,21,230,56.6
5_0154,남,42,570,1700,1452,758,425,976,940,899,906,934,973,425,442,534,423,389,160,20,247,75
5_0155,남,34,580,1690,1441,752,460,1101,1040,971,966,973,1002,452,469,568,443,400,158,19,247,85.6
5_0156,남,34,570,1775,1516,833,415,909,869,809,729,755,923,402,420,588,450,404,148,21,259,63.8
5_0157,남,27,590,1712,1451,772,419,987,918,859,827,864,929,412,470,553,427,408,160,20,259,73
5_0158,남,33,550,1753,1498,818,442,998,929,885,770,814,937,425,451,566,451,414,152,19,261,70.6
5_0159,남,45,570,1649,1410,733,413,971,926,875,882,865,929,406,430,544,452,402,147,20,230,65.7
5_0160,남,47,560,1698,1453,792,425,959,918,896,870,858,911,416,421,565,438,393,155,23,264,69.6
5_0161,남,38,570,1740,1490,790,454,1064,1009,943,947,827,953,447,455,571,440,412,167,19,248,82.8
5_0162,남,52,580,1642,1409,730,404,958,906,864,894,892,941,400,404,512,424,401,163,18,255,66.5
5_0163,여,11,550,1468,1246,689,341,659,693,630,596,688,754,293,347,468,360,379,133,20,230,36.7
5_0164,남,48,560,1642,1407,719,414,1019,957,922,844,855,918,430,442,553,442,396,160,18,246,68.2
5_0165,남,29,580,1740,1497,789,436,1054,1021,949,900,885,963,442,460,569,458,377,155,22,263,80.8
5_0166,남,45,570,1703,1447,775,420,980,911,873,859,917,946,418,422,561,445,396,148,18,263,70.6
5_0167,여,53,540,1548,1326,703,383,930,906,779,815,950,997,384,418,516,404,382,142,21,233,62
5_0168,여,59,540,1484,1265,665,365,963,955,839,842,930,917,376,397,524,387,384,141,20,230,56.7
5_0169,여,52,530,1575,1357,720,359,937,932,805,830,980,1019,392,387,536,405,364,142,20,246,63.9
5_0170,여,45,550,1570,1335,719,354,911,915,811,802,914,942,398,341,552,387,376,140,19,229,57.6
5_0171,여,54,540,1537,1319,703,377,881,856,742,782,914,942,370,382,503,410,384,139,19,228,54.2
5_0172,여,54,530,1529,1304,678,385,837,851,753,759,939,946,385,357,501,387,382,144,20,224,56
5_0173,여,53,550,1491,1270,673,360,908,876,764,811,850,940,383,385,487,394,380,139,16,223,53
