성별,나이,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배꼽수준허리둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,발직선길이,귀바퀴위뿌리_귀바퀴뿌리(뒤)직선길이,머리둘레,몸무게,BMI
남,16,1728 ,1464 ,793 ,455 ,875 ,820 , ,728 ,753 ,941 ,387 ,478 ,555 ,415 ,407 ,138 ,270 ,27 ,585 ,62.4 ,20.9 
남,16,1666 ,1418 ,782 ,390 ,809 ,778 , ,660 ,680 ,845 ,370 ,424 ,582 ,389 ,376 ,138 ,245 ,32 ,574 ,50.8 ,18.3 
남,16,1751 ,1486 ,780 ,399 ,1069 ,1045 , ,912 ,960 ,1063 ,463 ,418 ,620 ,403 ,374 ,138 ,268 ,27 ,605 ,92.2 ,30.1 
남,16,1698 ,1466 ,793 ,462 ,972 ,958 , ,836 ,884 ,1036 ,442 ,487 ,612 ,393 ,366 ,137 ,246 ,35 ,576 ,79.1 ,27.4 
남,16,1716 ,1452 ,837 ,418 ,926 ,850 , ,747 ,767 ,948 ,413 ,469 ,586 ,400 ,387 ,138 ,268 ,30 ,578 ,68.2 ,23.1 
남,17,1733 ,1469 ,763 ,430 ,910 ,869 , ,736 ,782 ,993 ,414 ,463 ,577 ,400 ,364 ,137 ,264 ,29 ,570 ,71.8 ,23.9 
남,17,1674 ,1405 ,729 ,410 ,827 ,771 , ,734 ,775 ,908 ,364 ,444 ,548 ,420 ,380 ,139 ,238 ,23 ,578 ,58.2 ,20.8 
남,17,1747 ,1487 ,781 ,411 ,932 ,884 , ,746 ,792 ,952 ,436 ,452 ,559 ,425 ,389 ,139 ,261 ,33 ,596 ,67.9 ,22.2 
남,17,1793 ,1520 ,839 ,411 ,885 ,854 , ,731 ,792 ,987 ,429 ,478 ,620 ,394 ,378 ,153 ,262 ,37 ,586 ,73.5 ,22.9 
남,16,1721 ,1461 ,742 ,467 ,1038 ,978 , ,885 , ,1074 ,440 ,498 ,558 ,405 ,380 ,140 ,258 ,22 ,591 ,88.5 ,29.9 
남,16,1705 ,1441 ,771 ,425 ,860 ,800 , ,729 ,795 ,943 ,416 ,446 ,573 ,388 ,357 ,150 ,248 ,35 ,590 ,63.8 ,21.9 
남,17,1792 ,1533 ,851 ,414 ,895 ,780 , ,668 ,705 ,932 ,378 ,488 ,608 ,398 ,375 ,138 ,262 ,31 ,571 ,60.6 ,18.9 
남,17,1706 ,1422 ,796 ,428 ,923 ,874 , ,750 ,798 ,965 ,385 ,473 ,570 ,393 ,383 ,146 ,253 ,27 ,588 ,67.3 ,23.1 
남,16,1719 ,1488 ,823 ,432 ,906 ,846 , ,809 ,865 ,970 ,427 ,460 ,591 ,397 ,385 ,145 ,251 ,21 ,575 ,70.1 ,23.7 
남,16,1678 ,1406 ,724 ,408 ,880 ,819 , ,690 ,714 ,883 ,418 ,394 ,570 ,383 ,370 ,132 ,259 ,25 ,558 ,58.0 ,20.6 
남,16,1665 ,1399 ,729 ,410 ,960 ,885 , ,815 ,858 ,946 ,468 ,428 ,566 ,369 ,405 ,145 ,255 ,38 ,585 ,68.7 ,24.8 
남,16,1721 ,1427 ,796 ,415 ,820 ,759 , ,642 ,674 ,818 ,365 ,444 ,562 ,399 ,387 ,135 ,240 ,27 ,577 ,52.5 ,17.7 
남,16,1710 ,1414 ,764 ,417 ,890 ,817 , ,714 ,762 ,913 ,370 ,475 ,556 ,398 ,425 ,137 ,237 ,28 ,570 ,61.8 ,21.1 
남,16,1760 ,1506 ,790 ,445 ,974 ,942 , ,867 ,924 ,1005 ,425 ,464 ,579 ,411 ,405 ,147 ,243 ,35 ,600 ,78.7 ,25.4 
남,16,1735 ,1462 ,801 ,412 ,885 ,804 , ,726 ,795 ,951 ,373 ,493 ,565 ,377 ,395 ,139 ,259 ,23 ,583 ,64.4 ,21.4 
남,16,1674 ,1435 ,770 ,401 ,915 ,845 , ,718 ,720 ,877 ,390 ,431 ,560 ,393 ,387 ,135 ,250 ,31 ,567 ,58.0 ,20.7 
남,16,1771 ,1520 ,840 ,426 ,835 ,795 , ,690 ,730 ,895 ,446 ,467 ,600 ,435 ,401 ,147 ,267 ,35 ,573 ,60.7 ,19.3 
남,16,1723 ,1441 ,795 ,438 ,997 ,925 , ,890 , ,1042 ,433 ,477 ,613 ,350 ,402 ,142 ,270 ,29 ,590 ,84.2 ,28.4 
남,17,1703 ,1422 ,731 ,431 ,880 ,825 , ,731 ,742 ,916 ,399 ,435 ,551 ,370 ,390 ,135 ,230 ,29 ,585 ,62.4 ,21.5 
남,16,1651 ,1377 ,754 ,410 ,780 ,742 , ,665 ,696 ,850 ,355 ,428 ,550 ,384 ,390 ,140 ,243 ,21 ,570 ,51.2 ,18.8 
남,16,1697 ,1442 ,733 ,412 ,944 ,914 , ,814 ,855 ,1000 ,433 ,465 ,547 ,366 ,380 ,132 ,255 ,34 ,580 ,74.5 ,25.9 
남,16,1738 ,1487 ,799 ,429 ,870 ,805 , ,698 ,700 ,855 ,395 ,424 ,615 ,393 ,412 ,145 ,271 ,27 ,582 ,58.4 ,19.3 
남,16,1823 ,1563 ,841 ,400 ,952 ,881 , ,730 ,755 ,960 ,427 ,447 ,610 ,426 ,380 ,153 ,283 ,35 ,597 ,71.4 ,21.5 
남,16,1734 ,1447 ,816 ,409 ,807 ,763 , ,651 ,691 ,897 ,373 ,410 ,581 ,383 ,410 ,138 ,263 ,31 ,564 ,55.4 ,18.4 
남,16,1727 ,1492 ,740 , , , , , , , , ,450 ,595 ,419 ,385 ,137 ,250 ,28 ,574 ,89.6 ,30.0 
남,16,1796 ,1513 ,833 ,450 ,945 ,894 , ,800 ,830 ,997 ,437 ,475 ,595 ,390 ,385 ,143 ,268 ,23 ,573 ,74.3 ,23.0 
남,16,1757 ,1476 ,832 ,419 ,845 ,809 , ,712 ,735 ,880 ,374 ,457 ,600 ,408 ,379 ,140 ,267 ,26 ,584 ,58.2 ,18.9 
남,16,1723 ,1459 ,795 ,458 ,944 ,893 , ,824 ,870 ,953 ,463 ,428 ,572 ,385 ,390 ,147 ,268 ,27 ,596 ,70.6 ,23.8 
남,16,1847 ,1575 ,874 ,430 ,899 ,848 , ,675 ,731 ,898 ,402 ,461 ,647 ,436 ,396 ,138 ,270 ,28 ,589 ,63.2 ,18.5 
남,16,1800 ,1518 ,840 ,443 ,940 ,905 , ,811 ,880 ,996 ,447 ,418 ,621 ,420 ,392 ,145 , ,27 ,579 ,74.4 ,23.0 
남,16,1721 ,1428 ,790 ,417 ,893 ,846 , ,700 ,705 ,864 ,401 ,458 ,583 ,379 ,382 ,134 ,247 ,28 ,566 ,58.1 ,19.6 
