sex,age,height,weight,shoulder,chest,belly,neck,arm,armhole,top_length,wrist,arm_round,waist,hip,thigh,bottom_leng,ankle
남,25,1736,72,420,977,815,385,590,454,528,153,325,819,964,564,934,241
남,28,1833,106,482,1094,1053,418,660,501,555,179,395,1036,1109,704,1020,295
남,19,1744,69,437,944,755,400,576,421,566,166,313,754,929,544,904,268
남,20,1751,68,453,957,741,355,581,426,540,163,303,720,943,570,933,257
남,22,1851,82,495,1031,891,394,615,440,541,167,304,846,1004,594,1023,279
남,23,1781,94,464,1126,978,397,615,476,554,170,365,946,1071,676,985,268
남,24,1838,100,512,1171,930,394,632,521,536,171,410,882,1107,709,1019,274
남,24,1915,87,497,1045,824,392,646,465,589,172,343,807,980,596,1052,275
남,27,1729,75,500,989,825,368,573,456,553,167,347,799,980,580,924,254
남,26,1639,73,447,1063,838,365,556,476,506,161,381,826,985,597,884,251
남,20,1769,66,482,973,780,382,592,440,537,163,299,776,921,539,957,259
남,26,1751,79,451,1047,795,395,605,454,550,165,332,770,978,617,954,260
남,20,1736,81,465,1064,845,374,576,432,494,161,330,815,1007,625,974,265
남,28,1850,80,482,1001,873,390,620,465,533,158,325,845,1001,594,1023,276
남,23,1670,71,463,1030,779,400,571,455,528,175,345,767,925,535,886,257
남,26,1729,70,454,957,833,373,575,443,506,164,319,802,958,576,935,260
남,21,1718,64,423,934,752,400,580,394,541,157,289,740,915,558,908,257
남,25,1835,86,483,1090,880,393,610,472,553,175,343,851,1015,625,1002,288
남,21,1724,74,475,1011,773,405,596,439,529,175,340,764,941,584,936,268
남,25,1645,59,450,895,714,364,574,415,517,158,303,715,890,530,874,253
남,28,1786,75,473,1059,845,393,600,458,545,161,339,835,980,590,965,254
남,60,1764,86,456,1089,979,410,592,496,545,178,327,978,1004,588,951,282
남,19,1686,61,424,910,742,360,575,380,501,154,290,725,897,567,928,245
남,22,1765,70,432,970,821,387,590,442,522,163,319,769,945,580,978,253
남,24,1764,68,426,965,775,371,603,440,517,166,323,754,915,554,977,261
남,20,1751,81,439,1018,888,410,624,472,523,165,340,866,1005,628,970,260
남,19,1766,72,435,1004,783,373,605,419,504,168,300,766,960,583,977,266
남,23,1730,81,465,1053,888,395,620,443,528,167,344,855,1002,630,954,250
남,21,1794,102,501,1164,1025,425,640,497,538,181,383,1022,1110,687,991,289
남,22,1724,68,461,975,755,362,575,424,535,163,325,728,930,570,927,260
남,26,1757,79,468,1023,883,385,620,469,516,160,342,821,1005,613,974,270
남,19,1755,63,404,911,776,356,584,387,509,155,264,731,906,530,974,253
남,18,1699,62,433,960,722,340,580,411,498,150,308,685,890,565,931,251
남,26,1678,69,430,1005,825,370,564,441,484,156,335,788,964,603,932,243
남,23,1804,66,446,971,810,360,590,401,552,155,295,775,916,540,974,251
남,24,1722,69,453,1021,809,370,572,433,519,153,312,785,937,595,924,252
남,22,1777,80,497,1015,898,392,591,442,516,167,335,871,1005,598,973,272
남,26,1750,77,459,1050,813,372,585,464,543,168,351,788,962,594,935,270
남,25,1773,73,468,1065,800,372,644,463,494,164,344,775,910,568,1011,273
남,25,1818,75,482,998,770,393,599,400,509,163,321,755,945,570,1030,265
남,28,1778,95,474,1111,985,415,605,516,528,180,370,955,1075,685,974,272
남,26,1786,73,436,1010,855,372,585,430,534,170,340,813,940,559,967,264
남,27,1770,74,465,1038,820,372,596,442,544,155,352,786,973,595,952,263
남,26,1765,78,464,1052,815,385,605,455,539,162,358,821,965,620,956,264
남,16,1720,63,461,915,775,364,612,393,488,150,266,740,949,568,988,249
남,16,1657,59,355,878,794,335,545,377,476,151,269,712,954,558,904,263
남,16,1736,69,437,961,795,373,590,445,493,159,272,790,960,560,954,256
남,16,1626,56,402,872,793,348,570,377,489,147,265,755,895,517,873,240
남,16,1740,77,462,995,896,397,611,437,515,175,319,850,990,578,952,268
남,16,1738,60,436,915,721,350,621,395,476,158,278,675,908,508,975,264
남,16,1707,58,397,852,740,334,599,370,510,149,248,680,896,540,930,244
남,16,1754,58,425,908,700,355,605,420,503,156,282,686,861,496,974,254
남,16,1852,63,441,900,725,343,640,410,541,161,281,671,911,541,1027,272
남,16,1615,52,417,840,709,324,556,394,495,154,261,673,866,510,859,253
남,16,1735,75,423,1004,835,357,598,449,491,163,320,797,1001,600,964,269
남,16,1718,74,442,972,884,370,613,413,503,167,290,846,981,593,941,266
남,16,1679,83,453,1055,972,380,606,463,512,166,351,896,1070,653,915,268
남,16,1730,68,422,955,806,363,598,425,519,167,293,755,957,569,937,270
남,16,1721,60,452,915,744,355,573,402,489,157,259,700,910,543,937,248
남,16,1736,80,446,1015,974,389,614,450,523,165,287,915,1040,618,957,269
남,15,1714,66,424,960,765,365,602,430,514,157,288,745,960,583,920,268
남,16,1710,58,374,850,710,334,563,397,533,152,267,694,893,521,905,246
남,16,1754,78,433,1049,887,390,631,445,495,162,304,856,999,615,967,261
남,16,1795,57,427,856,699,334,606,382,578,153,242,651,907,505,922,243
남,16,1690,53,385,856,709,335,569,390,521,145,253,682,875,508,903,239
남,15,1614,56,422,920,755,340,565,403,457,151,265,732,887,530,896,241
남,16,1755,74,436,993,860,375,615,443,486,159,310,825,985,598,993,258
남,16,1756,56,419,840,701,331,590,377,573,157,248,667,877,488,893,259
남,15,1749,63,445,847,790,330,609,410,509,155,308,723,930,537,957,267
남,16,1756,71,464,958,865,375,610,423,522,167,288,831,968,588,951,256
남,16,1711,67,466,909,814,370,595,402,489,163,299,800,939,554,937,257
남,16,1724,72,453,983,820,365,608,443,504,166,292,785,990,592,936,276
남,16,1710,58,407,857,705,345,576,385,525,156,268,679,883,520,909,245
남,17,1700,62,445,905,775,345,595,400,504,153,285,730,935,557,927,249
남,17,1726,61,426,860,717,343,600,390,523,155,267,694,895,537,936,268
남,17,1651,48,405,810,670,335,550,370,516,150,243,640,848,473,865,242
남,16,1711,59,435,867,765,348,592,384,487,162,271,705,927,570,956,250
남,17,1725,78,454,1021,905,370,615,434,514,159,330,892,1037,652,940,266
남,17,1828,73,436,911,817,365,609,420,564,165,288,785,995,596,970,265
남,17,1726,54,392,786,732,352,580,370,522,155,254,697,878,518,919,250
남,17,1710,56,406,830,694,342,570,385,513,154,267,667,883,520,920,250
남,17,1644,58,433,905,757,360,585,410,491,152,278,726,892,551,903,243
남,17,1750,53,431,835,685,338,600,383,503,150,244,650,870,500,969,242
남,17,1746,57,445,850,711,337,613,365,506,158,250,682,881,508,968,263
남,17,1661,56,427,940,690,325,590,405,481,160,302,659,850,515,912,246
남,17,1730,80,466,970,911,380,610,463,499,170,308,862,1058,660,947,276
남,17,1740,67,418,913,843,353,605,398,517,162,277,783,950,570,947,262
남,16,1706,55,434,874,720,349,604,388,487,156,250,698,880,515,947,242
남,16,1770,61,443,850,783,340,605,412,493,157,265,725,910,545,991,251
남,16,1770,87,457,1005,993,400,629,491,587,184,318,960,1040,646,908,299
남,16,1683,55,438,835,710,330,605,378,484,160,252,673,891,517,920,253
남,16,1630,68,458,980,820,357,594,420,491,172,297,825,970,605,866,270
남,16,1643,54,428,880,712,335,570,380,466,154,255,686,876,500,897,260
남,16,1805,77,447,961,845,375,644,441,524,169,305,790,990,595,990,263
남,16,1789,72,454,985,850,395,634,432,518,170,293,785,991,563,993,260
남,16,1790,62,466,860,775,348,605,392,515,165,267,710,945,535,971,275
남,15,1697,58,415,870,728,337,572,413,500,156,270,710,918,527,947,255
남,16,1627,51,400,846,685,343,565,375,495,157,253,668,880,542,860,237
남,16,1706,58,436,845,726,355,604,394,508,162,270,705,911,531,922,252
남,16,1808,75,450,950,841,380,647,459,532,165,290,812,995,606,992,270
남,17,1783,76,437,990,865,365,635,430,533,163,337,840,1005,623,985,264
남,17,1801,80,448,998,877,375,622,498,553,167,334,830,1021,619,967,277
남,17,1830,68,465,940,760,375,632,444,546,167,303,740,935,542,1007,278
남,17,1745,61,473,910,785,360,645,395,515,152,257,735,905,514,955,264
남,17,1717,72,438,985,905,377,586,451,512,155,300,860,995,595,943,245
남,17,1760,63,430,900,725,337,625,397,511,155,271,690,923,542,985,267
남,17,1725,72,436,975,867,390,572,395,543,147,291,835,977,585,908,248
남,17,1702,60,447,905,743,335,595,397,521,155,293,692,905,535,925,248
남,16,1750,65,409,900,780,360,580,417,542,160,295,710,910,569,928,258
남,17,1678,66,460,910,760,363,567,405,545,154,270,717,980,580,879,250
남,17,1696,61,457,915,746,355,583,395,508,153,275,725,930,569,937,255
남,17,1788,60,451,885,735,345,615,383,531,154,261,685,900,526,985,248
남,17,1705,53,451,860,676,343,575,405,533,145,266,625,857,483,897,234
남,17,1744,59,457,870,707,340,592,383,536,150,254,660,917,525,927,247
남,17,1739,67,423,901,825,355,606,411,524,162,290,780,980,573,952,260
남,17,1610,47,412,798,702,320,563,345,449,143,216,655,822,478,913,237
남,17,1851,102,448,1057,1014,415,662,492,578,184,329,985,1110,665,1017,303
남,17,1690,52,432,820,720,335,583,368,493,146,248,680,845,485,926,258
남,17,1805,68,465,900,795,360,635,439,532,163,284,733,925,547,986,277
남,17,1725,65,463,1025,760,364,602,442,532,185,343,712,905,518,923,243
남,16,1767,70,450,902,803,367,609,426,561,164,278,770,970,567,935,268
남,17,1685,53,436,857,730,348,561,382,508,150,252,680,860,497,904,242
남,17,1735,58,443,877,725,360,582,393,521,154,254,680,902,512,919,253
남,17,1745,51,437,810,690,327,610,351,544,152,222,640,826,458,930,244
남,17,1715,63,428,955,738,365,580,425,506,172,298,695,902,531,935,258
남,17,1694,60,437,865,793,345,605,375,509,147,264,748,898,536,931,250
남,18,1730,56,443,890,717,350,580,403,518,145,250,685,865,503,923,255
남,16,1865,67,447,953,750,358,652,405,519,169,282,692,935,525,1061,280
남,17,1744,51,418,876,690,308,587,364,517,148,253,645,850,454,959,241
남,17,1744,69,465,958,810,369,608,421,520,160,280,767,960,549,954,268
남,17,1846,66,441,860,770,356,645,397,514,159,258,710,935,515,1067,261
남,16,1607,43,405,783,650,316,567,346,449,145,233,620,785,443,894,223
남,17,1795,60,405,935,720,340,605,403,535,159,304,680,885,505,985,253
남,17,1735,61,469,960,815,345,617,428,504,147,303,730,915,534,987,260
남,17,1733,72,447,920,835,354,581,441,522,162,302,803,990,601,929,267
남,56,1644,78,466,1043,920,421,570,442,543,177,329,924,973,605,841,264
남,63,1704,65,415,910,853,353,607,440,523,167,291,840,916,518,916,251
남,60,1601,70,429,985,905,384,566,453,524,167,298,924,960,572,840,251
남,44,1713,78,443,1018,915,407,584,445,534,174,329,910,1005,601,920,266
남,54,1721,82,466,1031,905,408,577,464,594,175,351,908,1003,582,896,260
남,23,1714,70,460,954,870,364,601,443,514,152,306,835,977,593,936,248
남,23,1731,75,466,950,885,380,630,439,548,166,305,845,967,583,929,271
남,23,1730,95,473,1080,1002,422,612,467,583,168,361,1028,1050,667,885,271
남,68,1533,50,394,900,795,338,553,394,492,166,259,805,815,460,812,238
남,57,1709,72,429,990,925,382,580,427,524,163,304,910,946,546,930,257
남,18,1706,72,409,930,875,385,597,454,524,153,302,850,1006,600,930,237
남,56,1580,46,398,845,700,314,546,370,499,152,253,655,825,449,846,229
남,69,1677,54,432,910,732,340,585,397,531,160,268,718,860,480,898,242
남,18,1751,64,442,893,750,360,580,384,533,160,269,716,935,573,945,254
남,24,1685,70,438,930,884,374,597,444,524,154,303,868,960,596,918,243
남,46,1722,63,448,939,820,370,600,420,556,168,282,820,890,509,912,252
남,19,1657,53,430,859,690,354,564,372,534,149,254,674,838,482,856,236
남,55,1688,64,418,940,834,360,565,440,544,154,301,810,907,540,893,231
남,19,1721,75,430,1005,870,385,633,455,559,162,298,832,993,602,918,255
남,55,1619,67,445,966,920,375,567,443,535,160,303,886,935,560,861,245
남,18,1635,57,414,892,730,340,570,393,504,146,273,706,914,555,887,237
남,54,1715,50,392,854,718,340,610,386,540,155,229,690,819,428,929,237
남,33,1642,63,424,920,828,354,555,416,531,144,288,805,930,570,867,234
남,61,1623,67,397,991,910,372,580,435,522,159,306,892,957,565,865,244
남,16,1763,60,423,850,770,350,612,400,515,154,273,726,910,510,970,245
남,17,1707,73,466,1000,786,380,605,460,532,166,321,770,990,606,914,262
남,29,1714,59,447,860,750,345,588,383,526,151,263,743,892,521,924,247
남,48,1667,68,435,935,845,378,584,429,531,160,270,835,958,562,905,250
남,35,1810,80,414,1009,904,378,620,458,581,164,316,850,967,568,959,265
남,66,1670,66,416,925,876,376,556,423,557,165,301,845,900,512,857,240
남,57,1722,74,441,1008,850,395,610,451,537,178,305,840,980,565,946,269
남,58,1620,61,424,976,854,385,560,408,543,157,305,852,864,492,833,249
남,43,1740,73,460,980,898,370,620,445,546,167,306,890,980,567,940,249
남,36,1787,78,502,1015,908,400,630,450,568,159,329,880,990,573,965,251
남,19,1696,72,438,915,848,354,566,445,571,154,299,824,993,629,885,251
남,16,1720,51,433,820,648,325,588,370,528,151,237,626,843,482,924,241
남,16,1724,55,416,857,732,326,623,387,518,156,270,687,853,506,947,262
남,16,1760,61,430,864,740,344,590,409,554,160,292,701,896,543,940,245
남,16,1745,61,463,862,755,337,581,401,537,152,278,700,930,543,953,256
남,52,1664,78,450,1056,947,410,590,492,541,175,351,939,1013,598,877,260
남,18,1750,58,454,910,732,350,570,390,544,150,283,705,898,498,935,237
남,19,1768,70,434,908,837,372,582,418,563,150,300,818,963,595,947,245
남,18,1755,65,443,970,772,354,591,421,568,155,278,753,960,570,923,251
남,18,1731,54,431,869,690,340,614,402,506,151,250,666,861,493,970,239
남,18,1870,65,458,863,726,354,635,397,552,165,258,690,931,520,1028,272
남,40,1700,66,454,955,838,363,593,436,548,150,316,818,940,541,909,248
남,43,1676,72,417,970,848,355,576,444,537,161,328,860,903,558,894,243
남,35,1708,61,435,912,775,360,601,407,526,151,287,727,900,510,939,238
남,22,1716,74,453,980,929,373,606,428,542,154,292,863,995,605,930,253
남,61,1622,53,381,879,790,344,552,410,507,161,265,774,838,467,864,248
남,36,1655,72,417,978,960,403,580,428,518,156,299,945,936,559,890,248
남,51,1636,83,438,1040,970,414,554,454,554,178,353,954,1024,644,833,270
남,34,1728,84,464,1044,970,414,575,460,572,165,318,950,1010,620,891,260
