"sex","age","height","weight","belly","arm","arm_round","waist","thigh","ankle","neck","shoulder","chest","armhole","top_length","wrist","hip","bottom_leng"
"남",19,1679,58,802,540,299,720,542,266,348,470,918,367,497,178,903,905
"남",19,1732,65,824,553,340,790,570,263,356,465,955,364,525,169,946,932
"남",23,1737,75,877,556,335,864,600,275,385,484,1017,398,523,178,989,930
"남",23,1641,49,720,516,302,642,528,250,334,447,891,357,507,168,834,862
"남",22,1737,60,831,556,312,720,512,278,354,475,945,364,495,183,916,968
"남",21,1741,58,768,550,325,726,573,269,366,453,909,354,515,174,881,938
"남",19,1727,59,791,544,315,719,582,259,339,469,917,376,512,175,890,927
"남",19,1800,61,875,579,289,719,505,266,348,512,929,346,537,179,928,989
"남",19,1751,73.5,897,596,366,821,615,274,372,481,1043,397,491,175,992,986
"남",26,1788,73,861,570,332,796,586,284,384,488,1018,379,585,183,991,938
"남",28,1769,84,844,575,395,823,626,299,407,465,1082,446,516,197,1046,966
"남",26,1786,92.6,986,589,438,896,690,296,423,528,1181,466,558,196,1060,944
"남",19,1667,67.9,877,550,355,814,642,276,347,455,993,395,479,179,987,924
"남",20,1806,84.6,934,603,409,889,640,276,386,529,1066,415,515,182,1101,1024
"남",22,1766,79.6,865,576,381,829,610,291,390,499,1125,446,518,193,997,966
"남",27,1675,56,830,549,312,725,502,268,359,454,944,363,503,170,882,906
"남",22,1735,71,913,574,325,774,636,261,371,441,1004,395,530,181,980,921
"남",19,1787,57,772,591,299,703,529,261,351,466,919,367,502,171,889,1014
"남",23,1615,56,774,493,307,747,582,248,355,420,928,363,483,160,911,867
"남",20,1750,76,810,580,380,809,642,275,373,470,1063,395,503,179,994,969
"남",18,1795,69,822,593,374,760,580,278,370,501,977,389,533,180,957,986
"남",28,1617,67.8,922,514,366,874,648,262,374,438,1008,400,496,173,976,855
"남",16,1706,89.2,994,546,429,951,698,305,405,494,1111,426,562,204,1081,885
"남",17,1716,59.6,762,549,330,750,564,274,358,460,948,369,502,183,907,938
"남",18,1744,70,882,556,315,849,627,293,385,473,986,387,517,180,962,950
"남",19,1748,63,837,559,322,730,565,257,356,462,937,392,536,168,951,932
