"sex","age","height","weight","shoulder","chest","belly","arm","armhole","bottom_leng","wrist","arm_round","waist","hip","thigh","ankle","top_length","neck","label"
"여",24,1713,65,428,930,992,550,384,907,162,318,796,999,587,255,544,325,1
"여",25,1717,52.6,406,840,835,541,326,969,160,292,659,921,553,257,491,313,2
"여",23,1702,48.2,411,848,749,546,312,912,156,267,607,895,503,246,543,293,3
"여",24,1705,58.7,440,901,900,552,349,935,171,293,684,937,550,277,512,314,4
"여",32,1660,46.8,400,815,800,542,311,912,157,239,625,866,498,233,489,296,5
"여",25,1592,83.4,441,1109,1125,508,441,821,184,406,954,1115,705,271,514,376,6
"여",25,1544,54.2,386,926,854,500,361,835,155,332,732,963,583,246,466,320,7
"여",26,1616,54.8,418,923,861,514,349,860,162,297,688,926,562,251,506,304,8
"여",22,1616,69.6,434,988,902,498,402,859,172,365,832,1040,643,276,500,348,9
"여",25,1621,54,410,865,837,512,340,891,161,285,708,972,553,278,462,322,10
"여",26,1530,43.7,361,825,742,494,317,831,152,291,678,874,507,229,453,302,11
"여",25,1714,57.2,419,906,815,555,336,925,166,305,703,934,550,272,512,324,12
"여",27,1636,58.8,412,945,852,529,367,896,173,349,715,962,556,265,487,337,13
"여",26,1685,53,407,840,885,543,326,950,164,295,657,943,538,250,478,314,14
"여",23,1640,49.8,406,867,786,536,324,933,158,279,660,891,508,244,447,315,15
"여",25,1569,46.5,390,835,758,491,313,844,154,289,639,911,566,235,466,285,16
"여",27,1621,63,406,929,886,535,381,898,180,316,780,984,616,266,478,340,17
"여",33,1600,64.5,439,1072,998,510,404,883,176,396,898,1048,658,270,476,366,18
"여",30,1542,74.1,403,1004,982,498,368,835,171,350,908,1007,603,255,456,366,19
"여",27,1636,50.4,359,844,780,534,367,909,160,294,670,889,529,234,477,308,20
"여",26,1550,47.6,376,841,731,502,323,813,160,294,647,871,496,237,499,314,21
"여",25,1585,50.2,415,832,744,509,321,876,152,293,665,908,542,246,468,317,22
"여",20,1559,58.5,383,945,869,497,353,887,158,300,751,945,585,259,433,336,23
"여",33,1478,40.4,383,793,727,466,298,798,164,280,610,857,493,229,433,296,24
"여",36,1565,51.8,407,892,834,504,351,886,166,321,702,906,529,251,444,332,25
"여",25,1508,45.5,365,833,765,473,333,824,156,257,652,920,530,237,448,295,26
"여",27,1674,61.8,424,900,934,540,350,931,168,287,753,993,574,264,483,321,27
"여",29,1650,65.3,388,939,966,524,354,963,168,338,758,996,623,256,440,319,28
"여",28,1661,51.9,360,863,839,551,325,939,162,263,689,895,523,244,459,298,29
"여",24,1563,74.3,425,993,1022,494,400,871,195,373,863,1034,669,292,460,361,30
"여",20,1581,48,382,836,746,512,307,889,154,281,660,874,530,237,446,297,31
"여",21,1506,48.2,368,825,693,499,330,819,154,298,650,898,551,246,449,294,32
"여",25,1624,54.7,376,875,872,536,345,922,161,283,700,942,552,256,439,304,33
"여",39,1540,56.6,416,951,948,480,335,873,167,296,810,944,558,259,416,328,34
"여",53,1550,62,436,969,979,500,372,855,194,385,820,1016,613,249,455,349,35
"여",59,1478,56.7,413,965,969,515,372,830,172,365,891,930,573,238,419,390,36
"여",52,1570,63.9,416,958,1007,523,380,880,178,345,867,1040,622,272,454,352,37
"여",45,1561,57.6,350,942,944,529,359,888,170,337,834,952,572,250,431,321,38
"여",54,1538,54.2,405,919,932,487,362,856,165,308,822,944,580,248,444,333,39
"여",54,1531,56,392,875,937,500,352,845,170,328,780,961,586,244,442,332,40
"여",53,1479,53,405,957,892,455,371,830,179,344,833,949,562,272,415,334,41
"여",38,1497,50.5,393,885,869,485,314,813,116,280,718,874,521,190,435,294,42
"여",21,1567,41.5,378,740,703,485,272,839,113,234,574,810,448,219,464,266,43
"여",21,1628,58,430,870,789,497,326,855,133,285,677,929,520,243,521,303,44
"여",21,1585,57.3,420,873,875,483,337,869,126,319,709,937,553,213,480,299,45
"여",68,1570,68.3,389,970,1004,519,388,895,149,316,888,1007,585,225,428,324,46
"여",39,1602,73,408,1022,972,525,386,871,142,345,845,1018,599,227,483,330,47
"여",18,1544,52.5,400,861,789,495,347,881,119,329,676,898,532,210,435,291,48
"여",19,1578,71.5,385,994,1020,481,376,877,128,316,832,1054,626,232,450,321,49
"여",22,1690,55.6,398,831,834,566,310,927,117,243,665,936,515,213,515,291,50
"여",20,1633,49,399,870,716,540,320,909,120,244,605,876,487,200,461,277,51
"여",41,1591,55.5,428,904,865,511,338,869,136,318,675,889,515,213,460,320,52
"여",39,1635,65.4,421,955,954,516,376,890,141,339,733,1008,567,223,495,317,53
"여",23,1636,54.5,411,863,761,512,310,885,122,303,662,928,548,216,491,297,54
"여",24,1656,72.5,426,946,951,540,378,917,131,318,784,1044,627,231,494,334,55
"여",58,1450,49.5,384,910,870,466,347,814,127,284,796,852,494,201,408,323,56
"여",66,1613,65.7,368,910,997,528,381,870,143,327,896,979,559,229,498,311,57
"여",60,1528,61.7,405,946,987,488,379,798,136,308,924,948,528,225,485,336,58
"여",63,1502,61.5,386,981,1004,506,372,845,150,297,932,935,489,224,436,362,59
"여",74,1534,53,398,922,916,519,356,846,122,319,884,862,452,216,470,360,60
"여",63,1519,60.3,394,972,971,506,378,823,142,326,959,914,493,258,447,352,61
"여",69,1495,53,390,915,934,493,360,826,133,320,831,883,519,220,440,338,62
"여",60,1517,47,398,833,846,482,325,805,134,281,711,861,476,222,455,285,63
"여",73,1437,56.5,383,957,970,485,367,793,144,319,940,887,528,223,415,323,64
"여",72,1474,43.5,354,773,770,477,313,807,132,237,674,849,439,208,441,322,65
"여",65,1521,54.5,395,864,859,490,328,818,138,290,764,920,539,217,455,299,66
"여",58,1566,51.5,390,835,861,519,323,846,128,266,697,891,524,213,475,299,67
"여",23,1627,49,420,831,769,543,298,876,124,261,607,880,480,222,498,271,68
"여",27,1584,75.2,397,965,1004,468,369,835,136,318,835,1071,630,245,495,321,69
"여",26,1601,50,370,847,720,485,315,845,127,264,646,875,501,231,485,285,70
"여",26,1595,54.5,405,889,844,508,307,871,120,263,640,934,541,217,461,280,71
"여",26,1534,44.8,393,823,788,469,308,835,117,283,639,880,487,208,444,265,72
"여",24,1635,55,390,889,900,523,347,904,121,263,664,946,540,208,485,293,73
"여",36,1541,47.5,382,821,762,485,298,830,121,276,636,863,488,198,466,275,74
"여",28,1693,64,434,920,817,531,316,897,121,279,709,919,567,248,513,311,75
"여",24,1572,55.6,376,898,822,513,359,897,124,316,690,934,554,212,432,294,76
"여",65,1596,67,395,971,1009,539,380,882,150,301,916,975,581,235,459,319,77
"여",75,1436,46,362,824,864,512,293,852,133,253,802,869,464,225,368,306,78
"여",70,1463,55,365,958,936,474,340,796,136,297,915,878,516,245,443,312,79
"여",70,1580,48.5,365,864,911,527,328,853,121,310,835,971,475,205,470,316,80
"여",27,1650,62.5,398,897,897,515,342,907,121,313,716,956,563,202,487,283,81
"여",25,1682,54.5,390,825,756,549,319,929,119,288,638,910,510,190,473,280,82
"여",37,1609,61,393,966,911,502,356,878,135,346,841,927,518,224,465,310,83
"여",25,1573,49.5,376,830,810,517,309,878,127,259,651,872,496,220,458,282,84
"여",50,1529,46,370,801,841,493,318,848,130,247,668,854,486,200,439,286,85
"여",50,1613,53,407,843,812,513,313,871,130,271,666,916,530,205,497,270,86
"여",46,1554,57,398,920,894,501,327,862,131,334,793,903,536,238,452,323,87
"여",43,1584,57.5,414,878,859,516,324,885,143,269,742,912,524,233,465,298,88
"여",49,1514,45.3,355,856,803,505,336,816,121,294,672,825,455,212,461,299,89
"여",42,1582,57,411,938,898,501,352,860,122,341,827,912,518,197,481,322,90
