"성별","나이","키","몸무게","어깨가쪽사이길이","가슴둘레","배둘레","팔길이","겨드랑둘레","목뒤높이","위앞엉덩뼈가시높이","손목둘레","편위팔둘레","허리둘레","엉덩이둘레","넙다리둘레","발목최대둘레","상체총길이","목둘레"
"남",19,1679,58,470,918,802,540,367,1402,905,178,299,720,903,542,266,497,348
"남",19,1732,65,465,955,824,553,364,1457,932,169,340,790,946,570,263,525,356
"남",23,1737,75,484,1017,877,556,398,1453,930,178,335,864,989,600,275,523,385
"남",23,1641,49,447,891,720,516,357,1369,862,168,302,642,834,528,250,507,334
"남",22,1737,60,475,945,831,556,364,1463,968,183,312,720,916,512,278,495,354
"남",21,1741,58,453,909,768,550,354,1453,938,174,325,726,881,573,269,515,366
"남",19,1727,59,469,917,791,544,376,1439,927,175,315,719,890,582,259,512,339
"남",19,1800,61,512,929,875,579,346,1526,989,179,289,719,928,505,266,537,348
"남",19,1751,73.5,481,1043,897,596,397,1477,986,175,366,821,992,615,274,491,372
"남",26,1788,73,488,1018,861,570,379,1523,938,183,332,796,991,586,284,585,384
"남",28,1769,84,465,1082,844,575,446,1482,966,197,395,823,1046,626,299,516,407
"남",26,1786,92.6,528,1181,986,589,466,1502,944,196,438,896,1060,690,296,558,423
"남",19,1667,67.9,455,993,877,550,395,1403,924,179,355,814,987,642,276,479,347
"남",20,1806,84.6,529,1066,934,603,415,1539,1024,182,409,889,1101,640,276,515,386
"남",22,1766,79.6,499,1125,865,576,446,1484,966,193,381,829,997,610,291,518,390
"남",27,1675,56,454,944,830,549,363,1409,906,170,312,725,882,502,268,503,359
"남",22,1735,71,441,1004,913,574,395,1451,921,181,325,774,980,636,261,530,371
"남",19,1787,57,466,919,772,591,367,1516,1014,171,299,703,889,529,261,502,351
"남",23,1615,56,420,928,774,493,363,1350,867,160,307,747,911,582,248,483,355
"남",20,1750,76,470,1063,810,580,395,1472,969,179,380,809,994,642,275,503,373
"남",18,1795,69,501,977,822,593,389,1519,986,180,374,760,957,580,278,533,370
"남",28,1617,67.8,438,1008,922,514,400,1351,855,173,366,874,976,648,262,496,374
"남",16,1706,89.2,494,1111,994,546,426,1447,885,204,429,951,1081,698,305,562,405
"남",17,1716,59.6,460,948,762,549,369,1440,938,183,330,750,907,564,274,502,358
"남",18,1744,70,473,986,882,556,387,1467,950,180,315,849,962,627,293,517,385
"남",19,1748,63,462,937,837,559,392,1468,932,168,322,730,951,565,257,536,356
"남",19,1737,73,452,1000,945,569,420,1463,1006,179,337,853,989,586,276,457,378
"남",19,1712,66,462,977,752,557,384,1454,952,180,352,734,948,577,265,502,373
"남",23,1835,75,497,1033,848,603,406,1540,1001,177,348,840,997,603,282,539,381
"남",46,1690,65,461,1035,839,532,387,1433,913,183,371,820,959,552,262,520,371
"남",21,1651,58,433,977,762,545,372,1375,910,172,317,756,910,551,238,465,346
"남",21,1704,56,432,916,735,557,348,1434,967,176,313,697,874,511,271,467,341
"남",59,1665,73.9,450,1037,914,524,397,1423,890,190,383,934,964,566,284,533,396
"남",20,1710,60,449,918,788,549,366,1452,943,170,306,744,952,558,266,509,353
"남",25,1782,71.6,451,989,886,593,384,1507,985,184,329,779,980,615,268,522,353
"남",20,1705,60.7,454,951,761,534,352,1428,911,180,331,720,904,549,272,517,371
"남",22,1779,63.6,456,943,743,575,391,1495,971,188,347,697,931,521,281,524,350
"남",22,1795,64.4,464,942,850,588,377,1496,968,180,305,754,954,567,276,528,357
"남",23,1774,65,452,973,832,579,386,1509,999,171,350,768,925,546,277,510,376
"남",27,1758,90,486,1108,1003,565,455,1485,945,204,401,939,1091,676,304,540,408
"남",27,1555,65,409,1038,895,516,402,1303,858,184,370,865,943,579,272,445,367
"남",19,1706,69,444,986,871,526,382,1422,915,177,341,856,956,584,271,507,363
"남",19,1716,56,443,915,726,545,354,1443,940,178,306,663,885,511,267,503,358
"남",19,1728,69,457,960,859,567,383,1462,963,187,315,820,955,576,298,499,377
"남",22,1744,71.3,455,1022,836,569,396,1467,961,178,374,810,966,586,265,506,365
"남",24,1792,71,478,1020,822,583,375,1533,1010,185,333,812,953,584,306,523,381
"남",21,1732,63,448,924,777,551,356,1480,951,173,332,712,952,574,290,529,341
"남",27,1650,56,442,955,771,542,343,1403,929,164,336,745,904,535,258,474,348
"남",26,1802,77,463,1020,892,580,403,1531,1006,186,359,839,1023,595,279,525,381
"남",27,1673,80.1,460,1102,955,511,395,1410,899,188,369,940,1046,667,277,511,370
"남",29,1697,113,527,1233,1229,566,473,1447,875,205,455,1245,1241,716,327,572,516
"남",23,1772,73.8,480,1008,862,601,406,1493,962,177,369,831,985,584,283,531,369
"남",42,1709,64,467,995,898,546,382,1438,933,172,379,855,931,548,263,505,375
"남",56,1527,52,394,916,848,499,351,1283,820,178,311,756,888,505,258,463,386
"남",52,1649,70,460,1017,933,524,407,1410,902,189,336,900,972,584,262,508,394
"남",42,1690,60,479,976,826,546,369,1434,925,173,351,842,917,532,287,509,405
"남",36,1723,67,467,1022,960,561,383,1439,934,169,328,844,963,585,240,505,374
"남",28,1730,78,458,1088,934,572,426,1477,935,188,357,887,991,604,270,542,422
"남",54,1634,64,439,1015,885,517,391,1383,867,179,354,901,917,525,253,516,379
"남",44,1694,74,438,1045,909,561,367,1446,914,183,368,942,965,600,264,532,403
