youtube_id,comment,like_num
YonnySohn여니손,자라 슈즈가 이렇게 예쁜거투성이였다구요..!.!!😍﻿,26개
셩,"안녕하세요! 이번 영상 편집자 셩입니다
정보 오류가 몇군데 있어 댓글 남깁니다!

🌟자딕앤볼테르 - ZADIG & VOLTAIRE
🌟그리고 2번째 룩은 BLACK SPANGLE DRESS가 아니라WHITE DRESS 입니다!
🌟jaket-> jacket

혼란을 드려서 죄송합니다 😭﻿",178개
별빛마저잠드는밤,"원했던 컨텐츠였는데
이렇게 딱 올려주다니 
역시 역시 뭘 좀 아시는 
센스 사배님 💗💗💗
영상 재밌게 볼게요오 👋🏻👋🏻👋🏻👋🏻﻿",141개
jiminiemin,omg amazing lookbook all the outfits are just beautiful !❤️﻿,23개
jihye,"메이크업아티스트 사배💄💅🏻
200만 유투버 사배🤘
아이돌 가수 사배🎤
연예인 사배🤹‍♀️
모델 사배🚶🏻‍♀️
꼼화아가씨 조련사 사배💕
못하는게 뭐죠...🤷🏻‍♀️👸🏻👸🏻❤️❤️❤️❤️﻿",48개
,이 영상을 자라가 좋아합니다﻿,7개
00yy,"언니...메이크업부터 스타일까지 진짜 미쳣어요ㅠㅠㅠ 너무 좋아 반짝빤짝한 옷, 악세사리 좋아하는 거도 넘 까마귀같아서 기여우셔ㅠㅠㅠ💕💕﻿",63개
정연수,사배언니정말사랑해요 언니옛날부터쭉봐왔여요 아프리카티비할때 해달라던 컨텐츠 두개씩이나올려줘서고마워요 언니정말사랑하고언니정말착하세요ㅠㅠㅠ 언니처럼 훌륭한 메이크업아티스트가되는게꿈이에여 사랑합니다♡♡♡﻿,57개
04주디,미모에 몸매에 기럭지는 또 무슨 일이예요 언니ㅠㅠ 저랑 결혼해줘요ㅜㅜㅜㅜㅡ잉잉﻿,22개
KpoptimeexoL,The Korean womans are so beautiful 😍﻿,4개
JM,옷들이 다 사배님이라서 소화가능한 옷인거같아요 완전 잘 어울려요 ㅜㅜ❤️❤️❤️❤️ 옷이 사배님빨 받았어요 완전 💜💜💜﻿,5개
김깁,편집자님 능력 대박적﻿,23개
장혜진,진짜 포즈 취하는거 천상 유어녜인 ㅠㅠㅠ 발끝에서도 나오는 언니의 끼!! 넘모좋앙﻿,7개
warmonacoldnight,세번째 룩 메이크업 너무 예뻐욧!!! 너무 제 취향이에요❤﻿,7개
구슬,ㅜㅜㅜㅡ요새언니 영상만봐도 이렇게 힐링될수있다니...사랑해욤ㅜ❣﻿,4개
이주빈,사배언니 헤어스타일링 방법도 궁금해요!!특히 앞머리 부분 볼륨을 어떻게 세우시고 유지하지나용???﻿,17개
